Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Nouveaux Bilans Alimentaire","101","Indonésie","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","2053","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","102","Iran (République islamique d')","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","2221","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","103","Iraq","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","473","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","104","Irlande","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","121","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","99","Islande","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","10","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","105","Israël","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","606","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","106","Italie","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","1172","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","109","Jamaïque","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","152","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","110","Japon","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","2415","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","112","Jordanie","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","253","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","108","Kazakhstan","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","330","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","114","Kenya","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","31","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","113","Kirghizistan","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","33","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","83","Kiribati","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","2","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","118","Koweït","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","189","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","122","Lesotho","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","17","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","119","Lettonie","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","41","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","121","Liban","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","122","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","123","Libéria","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","50","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","126","Lituanie","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","82","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","256","Luxembourg","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","11","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","154","Macédoine du Nord","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","41","S","Données standardisées"
