Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","178","Érythrée","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","573.807152","Fc","Donnée calculée",""
"MK","Indicateurs macro","203","Espagne","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","32569.690163","Fc","Donnée calculée",""
"MK","Indicateurs macro","63","Estonie","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","19073.498628","Fc","Donnée calculée",""
"MK","Indicateurs macro","209","Eswatini","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","3913.942562","Fc","Donnée calculée",""
"MK","Indicateurs macro","231","États-Unis d'Amérique","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","53469.316622","Fc","Donnée calculée",""
"MK","Indicateurs macro","238","Éthiopie","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","495.773654","Fc","Donnée calculée",""
"MK","Indicateurs macro","185","Fédération de Russie","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","11705.377619","Fc","Donnée calculée",""
"MK","Indicateurs macro","66","Fidji","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","4302.01494","Fc","Donnée calculée",""
"MK","Indicateurs macro","67","Finlande","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","47188.111433","Fc","Donnée calculée",""
"MK","Indicateurs macro","68","France","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","42761.085054","Fc","Donnée calculée",""
"MK","Indicateurs macro","74","Gabon","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","9442.025872","Fc","Donnée calculée",""
"MK","Indicateurs macro","75","Gambie","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","801.309729","Fc","Donnée calculée",""
"MK","Indicateurs macro","73","Géorgie","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","4070.329668","Fc","Donnée calculée",""
"MK","Indicateurs macro","81","Ghana","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","2323.727537","Fc","Donnée calculée",""
"MK","Indicateurs macro","84","Grèce","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","22216.174392","Fc","Donnée calculée",""
"MK","Indicateurs macro","86","Grenade","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","9077.233082","Fc","Donnée calculée",""
"MK","Indicateurs macro","85","Groenland","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","48195.838663","Fc","Donnée calculée",""
"MK","Indicateurs macro","89","Guatemala","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","3124.180798","Fc","Donnée calculée",""
"MK","Indicateurs macro","90","Guinée","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","806.536048","Fc","Donnée calculée",""
"MK","Indicateurs macro","61","Guinée équatoriale","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","11486.608711","Fc","Donnée calculée",""
"MK","Indicateurs macro","175","Guinée-Bissau","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","603.501194","Fc","Donnée calculée",""
